Accession	Description
F8RKS1	1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Capra hircus GN=LPAAT PE=2 SV=1 - [F8RKS1_CAPHI]
G1DG51	Inorganic pyrophosphatase OS=Capra hircus GN=PPA1 PE=2 SV=1 - [G1DG51_CAPHI]
G3EHG5	Perilipin OS=Capra hircus PE=2 SV=1 - [G3EHG5_CAPHI]
G3MXD1	Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Bos taurus GN=UQCRFS1 PE=4 SV=1 - [G3MXD1_BOVIN]
G3MXJ3	Uncharacterized protein OS=Bos taurus GN=C2CD4D PE=4 SV=1 - [G3MXJ3_BOVIN]
G3MYH4	Tetraspanin (Fragment) OS=Bos taurus GN=CD81 PE=3 SV=1 - [G3MYH4_BOVIN]
G3N0U3	Uncharacterized protein OS=Bos taurus GN=CCP110 PE=4 SV=1 - [G3N0U3_BOVIN]
G3N0V0	Uncharacterized protein (Fragment) OS=Bos taurus PE=1 SV=1 - [G3N0V0_BOVIN]
G3N139	Uncharacterized protein OS=Bos taurus GN=ZNF512B PE=4 SV=1 - [G3N139_BOVIN]
G3N1L1	Uncharacterized protein OS=Bos taurus GN=LRRC10B PE=4 SV=1 - [G3N1L1_BOVIN]
G3N253	Uncharacterized protein OS=Bos taurus PE=4 SV=1 - [G3N253_BOVIN]
G3N2D7	Uncharacterized protein (Fragment) OS=Bos taurus GN=IGLL1 PE=4 SV=1 - [G3N2D7_BOVIN]
G3N2D8	Uncharacterized protein OS=Bos taurus GN=GGT1 PE=4 SV=1 - [G3N2D8_BOVIN]
G3N2H3	Uncharacterized protein OS=Bos taurus GN=EIF4G3 PE=4 SV=1 - [G3N2H3_BOVIN]
G3N2W8	Uncharacterized protein (Fragment) OS=Bos taurus GN=FZD2 PE=4 SV=1 - [G3N2W8_BOVIN]
G3N2Y6	Olfactory receptor (Fragment) OS=Bos taurus GN=LOC615014 PE=3 SV=1 - [G3N2Y6_BOVIN]
G3X696	Uncharacterized protein OS=Bos taurus GN=SLK PE=1 SV=1 - [G3X696_BOVIN]
G3X783	Uncharacterized protein OS=Bos taurus GN=MAPK8IP2 PE=4 SV=1 - [G3X783_BOVIN]
G3X8G9	Uncharacterized protein OS=Bos taurus PE=3 SV=1 - [G3X8G9_BOVIN]
G5CC04	Milk fat globule EGF factor 8 protein (Fragment) OS=Ovis aries PE=2 SV=1 - [G5CC04_SHEEP]
G5E589	Proteasome subunit beta type OS=Bos taurus GN=PSMB1 PE=3 SV=1 - [G5E589_BOVIN]
G5E5C5	Probable tubulin polyglutamylase TTLL9 (Fragment) OS=Bos taurus GN=TTLL9 PE=4 SV=1 - [G5E5C5_BOVIN]
G5E5D5	Uncharacterized protein OS=Bos taurus GN=LOC787476 PE=4 SV=1 - [G5E5D5_BOVIN]
G5E5X3	Uncharacterized protein (Fragment) OS=Bos taurus PE=4 SV=1 - [G5E5X3_BOVIN]
G5E618	Uncharacterized protein OS=Bos taurus GN=SHANK1 PE=4 SV=1 - [G5E618_BOVIN]
G8DNR0	Ciliary neurotrophic factor receptor (Fragment) OS=Ovis aries PE=2 SV=1 - [G8DNR0_SHEEP]
G8FRI7	Superoxide dismutase [Cu-Zn] (Fragment) OS=Ovis aries PE=2 SV=1 - [G8FRI7_SHEEP]
G8IHT6	Alpha S1 casein (Fragment) OS=Bubalus bubalis GN=CSN1S1 PE=4 SV=1 - [G8IHT6_BUBBU]
G8JKZ9	Uncharacterized protein (Fragment) OS=Bos taurus PE=4 SV=1 - [G8JKZ9_BOVIN]
G9DAR3	Lactoferrin OS=Bubalus bubalis PE=2 SV=1 - [G9DAR3_BUBBU]
H2DGR2	Heat shock protein 70 OS=Ovis aries GN=HSP70 PE=2 SV=1 - [H2DGR2_SHEEP]
H2DGR2	Heat shock protein 70 OS=Ovis aries GN=HSP70 PE=2 SV=1 - [H2DGR2_SHEEP]
H5ZXI4	MHC class II antigen (Fragment) OS=Ovis aries GN=Ovar-DQA2 PE=4 SV=1 - [H5ZXI4_SHEEP]
H9CH53	Beta-lactoglobulin (Fragment) OS=Bubalus bubalis GN=LGB PE=4 SV=1 - [H9CH53_BUBBU]
H9CJU6	14-3-3 protein zeta/delta OS=Ovis aries GN=YWHAZ PE=2 SV=1 - [H9CJU6_SHEEP]
I1SKJ7	Mitochondrial sulfite oxidase OS=Capra hircus PE=2 SV=1 - [I1SKJ7_CAPHI]
I1U3B9	Aldehyde dehydrogenase 1 family member L1 (Fragment) OS=Ovis aries PE=2 SV=1 - [I1U3B9_SHEEP]
I1WXR3	Alpha-1-antitrypsin transcript variant 1 OS=Ovis aries GN=SERPINA1 PE=2 SV=1 - [I1WXR3_SHEEP]
I6WY32	Alpha s1 casein OS=Capra hircus GN=CSN1S1 PE=2 SV=1 - [I6WY32_CAPHI]
I6ZQY0	Heat shock cognate 71 kDa protein OS=Capra hircus GN=HSPA8 PE=2 SV=1 - [I6ZQY0_CAPHI]
I7AL46	Guanine nucleotide binding protein beta polypeptide 2 (Fragment) OS=Ovis aries GN=GNB2 PE=2 SV=1 - [I7AL46_SHEEP]
J7F5B7	Alpha-mannosidase OS=Capra hircus GN=MAN2B1 PE=2 SV=1 - [J7F5B7_CAPHI]
J9QCU0	Periostin variant 5 OS=Bos taurus PE=2 SV=1 - [J9QCU0_BOVIN]
J9UXY3	HSP10 OS=Ovis aries GN=HSP10 PE=3 SV=1 - [J9UXY3_SHEEP]
K4P1S5	Peptidyl-prolyl cis-trans isomerase OS=Ovis aries GN=PPIA PE=2 SV=1 - [K4P1S5_SHEEP]
K4P494	Cystatin C OS=Ovis aries GN=CST3 PE=2 SV=1 - [K4P494_SHEEP]
L0CSP6	Peroxiredoxin-5 OS=Ovis aries GN=PRDX5 PE=2 SV=1 - [L0CSP6_SHEEP]
L8HKR3	Uncharacterized protein OS=Bos mutus GN=M91_21716 PE=4 SV=1 - [L8HKR3_9CETA]
L8HLI3	Butyrophilin subfamily 1 member A1 OS=Bos mutus GN=M91_00347 PE=4 SV=1 - [L8HLI3_9CETA]
L8HN56	Histone-lysine N-methyltransferase SETD2 (Fragment) OS=Bos mutus GN=M91_13698 PE=4 SV=1 - [L8HN56_9CETA]
L8HNW7	Heat shock 70 kDa protein 1A (Fragment) OS=Bos mutus GN=M91_14110 PE=3 SV=1 - [L8HNW7_9CETA]
L8HP71	Complement factor D (Fragment) OS=Bos mutus GN=M91_15533 PE=3 SV=1 - [L8HP71_9CETA]
L8HPF5	Ig gamma-1 chain C region (Fragment) OS=Bos mutus GN=M91_07836 PE=4 SV=1 - [L8HPF5_9CETA]
L8HQ79	Aldehyde oxidase (Fragment) OS=Bos mutus GN=M91_02934 PE=4 SV=1 - [L8HQ79_9CETA]
L8HQR2	Trinucleotide repeat-containing 6C protein (Fragment) OS=Bos mutus GN=M91_08213 PE=4 SV=1 - [L8HQR2_9CETA]
L8HQS2	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (Fragment) OS=Bos mutus GN=M91_15867 PE=4 SV=1 - [L8HQS2_9CETA]
L8HQU4	Chloride intracellular channel protein (Fragment) OS=Bos mutus GN=M91_15413 PE=3 SV=1 - [L8HQU4_9CETA]
L8HR13	Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_17977 PE=4 SV=1 - [L8HR13_9CETA]
L8HRM3	Synaptic vesicle membrane protein VAT-1-like protein (Fragment) OS=Bos mutus GN=M91_15222 PE=4 SV=1 - [L8HRM3_9CETA]
L8HRW7	Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_08728 PE=4 SV=1 - [L8HRW7_9CETA]
L8HSU0	Collagen alpha-1(XIV) chain (Fragment) OS=Bos mutus GN=M91_06054 PE=4 SV=1 - [L8HSU0_9CETA]
L8HTW0	Olfactory receptor (Fragment) OS=Bos mutus GN=M91_09307 PE=3 SV=1 - [L8HTW0_9CETA]
L8HTY4	Amine oxidase (Fragment) OS=Bos mutus GN=M91_15215 PE=3 SV=1 - [L8HTY4_9CETA]
L8HU32	Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_13456 PE=4 SV=1 - [L8HU32_9CETA]
L8HUM7	UDP-glucuronosyltransferase OS=Bos mutus GN=M91_13705 PE=3 SV=1 - [L8HUM7_9CETA]
L8HUP4	Tesmin OS=Bos mutus GN=M91_19932 PE=4 SV=1 - [L8HUP4_9CETA]
L8HV86	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (Fragment) OS=Bos mutus GN=M91_10878 PE=4 SV=1 - [L8HV86_9CETA]
L8HVC7	Epidermal growth factor receptor kinase substrate 8 (Fragment) OS=Bos mutus GN=M91_21458 PE=4 SV=1 - [L8HVC7_9CETA]
L8HVF6	Selenoprotein M OS=Bos mutus GN=M91_11954 PE=4 SV=1 - [L8HVF6_9CETA]
L8HVH5	Leupaxin (Fragment) OS=Bos mutus GN=M91_11503 PE=4 SV=1 - [L8HVH5_9CETA]
L8HWS2	Substance-P receptor (Fragment) OS=Bos mutus GN=M91_18429 PE=4 SV=1 - [L8HWS2_9CETA]
L8HWT2	Dehydrogenase/reductase SDR family member 7C OS=Bos mutus GN=M91_00352 PE=3 SV=1 - [L8HWT2_9CETA]
L8HX53	G-protein coupled receptor family C group 5 member B (Fragment) OS=Bos mutus GN=M91_04090 PE=4 SV=1 - [L8HX53_9CETA]
L8I1H2	Mesoderm-specific transcript-like protein (Fragment) OS=Bos mutus GN=M91_00901 PE=4 SV=1 - [L8I1H2_9CETA]
L8I2B7	Alkaline phosphatase (Fragment) OS=Bos mutus GN=M91_09659 PE=3 SV=1 - [L8I2B7_9CETA]
L8I2G1	Cell division control protein 42-like protein (Fragment) OS=Bos mutus GN=M91_02258 PE=3 SV=1 - [L8I2G1_9CETA]
L8I3W9	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Fragment) OS=Bos mutus GN=M91_19750 PE=4 SV=1 - [L8I3W9_9CETA]
L8I5P8	Complement component C8 beta chain OS=Bos mutus GN=M91_03918 PE=4 SV=1 - [L8I5P8_9CETA]
L8I5R0	Ceruloplasmin (Fragment) OS=Bos mutus GN=M91_03217 PE=4 SV=1 - [L8I5R0_9CETA]
L8I5R2	Pleckstrin-like protein domain-containing family H member 2 (Fragment) OS=Bos mutus GN=M91_21258 PE=4 SV=1 - [L8I5R2_9CETA]
L8I6I8	Chondroitin sulfate synthase 3 (Fragment) OS=Bos mutus GN=M91_01098 PE=4 SV=1 - [L8I6I8_9CETA]
L8I6N0	Glycosylation-dependent cell adhesion molecule 1 OS=Bos mutus GN=M91_06015 PE=4 SV=1 - [L8I6N0_9CETA]
L8I736	Septin-2 (Fragment) OS=Bos mutus GN=M91_12493 PE=3 SV=1 - [L8I736_9CETA]
L8I776	Guanylate cyclase soluble subunit alpha-1 OS=Bos mutus GN=M91_07808 PE=3 SV=1 - [L8I776_9CETA]
L8I7H2	UTP--glucose-1-phosphate uridylyltransferase (Fragment) OS=Bos mutus GN=M91_21508 PE=4 SV=1 - [L8I7H2_9CETA]
L8I8A8	Malate dehydrogenase (Fragment) OS=Bos mutus GN=M91_21510 PE=3 SV=1 - [L8I8A8_9CETA]
L8I9K4	Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Bos mutus GN=M91_02302 PE=4 SV=1 - [L8I9K4_9CETA]
L8IC82	Transitional endoplasmic reticulum ATPase (Fragment) OS=Bos mutus GN=M91_01524 PE=3 SV=1 - [L8IC82_9CETA]
L8ICR7	Ephrin-A1 (Fragment) OS=Bos mutus GN=M91_20862 PE=3 SV=1 - [L8ICR7_9CETA]
L8IDB8	Polyubiquitin-C (Fragment) OS=Bos mutus GN=M91_18159 PE=4 SV=1 - [L8IDB8_9CETA]
L8IDE9	Uncharacterized protein OS=Bos mutus GN=M91_15334 PE=4 SV=1 - [L8IDE9_9CETA]
L8IF56	Tyrosine-protein kinase OS=Bos mutus GN=M91_16403 PE=3 SV=1 - [L8IF56_9CETA]
L8IF71	Putative ATP-dependent RNA helicase DDX56 OS=Bos mutus GN=M91_15816 PE=4 SV=1 - [L8IF71_9CETA]
L8IG53	Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_11183 PE=4 SV=1 - [L8IG53_9CETA]
L8IG63	A disintegrin and metalloproteinase with thrombospondin motifs 13 (Fragment) OS=Bos mutus GN=M91_19671 PE=4 SV=1 - [L8IG63_9CETA]
L8IG65	Oxysterols receptor LXR-alpha OS=Bos mutus GN=M91_11662 PE=3 SV=1 - [L8IG65_9CETA]
L8IG93	Glutathione peroxidase (Fragment) OS=Bos mutus GN=M91_14332 PE=3 SV=1 - [L8IG93_9CETA]
L8IGH1	Copper transport protein ATOX1 (Fragment) OS=Bos mutus GN=M91_20718 PE=4 SV=1 - [L8IGH1_9CETA]
L8II38	Moesin (Fragment) OS=Bos mutus GN=M91_15303 PE=4 SV=1 - [L8II38_9CETA]
L8II39	Elongation factor 2 (Fragment) OS=Bos mutus GN=M91_12003 PE=4 SV=1 - [L8II39_9CETA]
L8IIC7	Annexin (Fragment) OS=Bos mutus GN=M91_14330 PE=3 SV=1 - [L8IIC7_9CETA]
L8IJ69	Protein prenyltransferase alpha subunit repeat-containing protein 1 OS=Bos mutus GN=M91_01884 PE=4 SV=1 - [L8IJ69_9CETA]
L8IJH9	Serine/threonine-protein kinase 24 (Fragment) OS=Bos mutus GN=M91_18743 PE=4 SV=1 - [L8IJH9_9CETA]
L8IJU8	Nucleobindin-1 OS=Bos mutus GN=M91_16014 PE=4 SV=1 - [L8IJU8_9CETA]
L8IK44	Uncharacterized protein OS=Bos mutus GN=M91_14977 PE=4 SV=1 - [L8IK44_9CETA]
L8IK48	Molybdenum cofactor biosynthesis protein 1 (Fragment) OS=Bos mutus GN=M91_02425 PE=3 SV=1 - [L8IK48_9CETA]
L8IK69	Histone H2A OS=Bos mutus GN=M91_14430 PE=3 SV=1 - [L8IK69_9CETA]
L8IKN8	T-cell immunomodulatory protein (Fragment) OS=Bos mutus GN=M91_10061 PE=4 SV=1 - [L8IKN8_9CETA]
L8IKS7	Tetranectin OS=Bos mutus GN=M91_08233 PE=4 SV=1 - [L8IKS7_9CETA]
L8IL02	TEL2-interacting protein 1-like protein OS=Bos mutus GN=M91_02802 PE=4 SV=1 - [L8IL02_9CETA]
L8IM86	10 kDa heat shock protein, mitochondrial (Fragment) OS=Bos mutus GN=M91_09506 PE=3 SV=1 - [L8IM86_9CETA]
L8IM91	60S acidic ribosomal protein P2 (Fragment) OS=Bos mutus GN=M91_00327 PE=3 SV=1 - [L8IM91_9CETA]
L8IMC9	Metalloendopeptidase (Fragment) OS=Bos mutus GN=M91_04201 PE=3 SV=1 - [L8IMC9_9CETA]
L8IML3	40S ribosomal protein S21 OS=Bos mutus GN=M91_18943 PE=3 SV=1 - [L8IML3_9CETA]
L8IMN6	Centromere protein O OS=Bos mutus GN=M91_00133 PE=4 SV=1 - [L8IMN6_9CETA]
L8INH5	Annexin (Fragment) OS=Bos mutus GN=M91_09602 PE=3 SV=1 - [L8INH5_9CETA]
L8IPM0	Fatty-acid amide hydrolase 1 (Fragment) OS=Bos mutus GN=M91_21637 PE=4 SV=1 - [L8IPM0_9CETA]
L8IQE7	Laminin subunit gamma-1 (Fragment) OS=Bos mutus GN=M91_14901 PE=4 SV=1 - [L8IQE7_9CETA]
L8IR22	Basigin OS=Bos mutus GN=M91_01904 PE=4 SV=1 - [L8IR22_9CETA]
L8ISL0	Ataxin-7-like protein 2 (Fragment) OS=Bos mutus GN=M91_01624 PE=4 SV=1 - [L8ISL0_9CETA]
L8ISV3	Alpha-enolase OS=Bos mutus GN=M91_12821 PE=3 SV=1 - [L8ISV3_9CETA]
L8IU67	Sortilin (Fragment) OS=Bos mutus GN=M91_01627 PE=4 SV=1 - [L8IU67_9CETA]
L8IVI7	tRNA guanosine-2'-O-methyltransferase TRM11-like protein (Fragment) OS=Bos mutus GN=M91_18998 PE=4 SV=1 - [L8IVI7_9CETA]
L8IW97	Complement component C7 (Fragment) OS=Bos mutus GN=M91_07756 PE=4 SV=1 - [L8IW97_9CETA]
L8IWY9	Pyruvate dehydrogenase protein X component OS=Bos mutus GN=M91_01244 PE=3 SV=1 - [L8IWY9_9CETA]
L8IX69	Low-density lipoprotein receptor (Fragment) OS=Bos mutus GN=M91_04910 PE=4 SV=1 - [L8IX69_9CETA]
L8IXC4	1-phosphatidylinositol-3-phosphate 5-kinase (Fragment) OS=Bos mutus GN=M91_15400 PE=4 SV=1 - [L8IXC4_9CETA]
L8IXD4	NEDD4-binding protein 2-like 2 (Fragment) OS=Bos mutus GN=M91_09943 PE=4 SV=1 - [L8IXD4_9CETA]
L8IY47	Protein FAM168B (Fragment) OS=Bos mutus GN=M91_07913 PE=4 SV=1 - [L8IY47_9CETA]
L8IY78	EF-hand domain-containing protein D2 (Fragment) OS=Bos mutus GN=M91_10961 PE=4 SV=1 - [L8IY78_9CETA]
L8IYQ4	UDP-glucuronic acid decarboxylase 1 (Fragment) OS=Bos mutus GN=M91_19261 PE=4 SV=1 - [L8IYQ4_9CETA]
L8IZ21	Pigment epithelium-derived factor OS=Bos mutus GN=M91_14691 PE=3 SV=1 - [L8IZ21_9CETA]
L8IZK0	Striated muscle preferentially expressed protein kinase OS=Bos mutus GN=M91_13963 PE=4 SV=1 - [L8IZK0_9CETA]
L8IZR7	Uncharacterized protein (Fragment) OS=Bos mutus GN=M91_13902 PE=4 SV=1 - [L8IZR7_9CETA]
L8J0I1	Renin receptor (Fragment) OS=Bos mutus GN=M91_17207 PE=4 SV=1 - [L8J0I1_9CETA]
L8J0J5	Uncharacterized protein OS=Bos mutus GN=M91_14931 PE=3 SV=1 - [L8J0J5_9CETA]
L8J1A8	Ras GTPase-activating-like protein IQGAP1 (Fragment) OS=Bos mutus GN=M91_17731 PE=4 SV=1 - [L8J1A8_9CETA]
L8J201	Transmembrane protein 8A (Fragment) OS=Bos mutus GN=M91_08807 PE=4 SV=1 - [L8J201_9CETA]
L8J2M8	14-3-3 protein epsilon (Fragment) OS=Bos mutus GN=M91_14679 PE=3 SV=1 - [L8J2M8_9CETA]
L8J2Q3	Extracellular peptidase inhibitor (Fragment) OS=Bos mutus GN=M91_17479 PE=4 SV=1 - [L8J2Q3_9CETA]
M1RB49	Alpha-lactalbumin (Fragment) OS=Bubalus bubalis GN=aLA PE=4 SV=1 - [M1RB49_BUBBU]
M4WED3	Cell division cycle 42 OS=Ovis aries GN=CDC42 PE=2 SV=1 - [M4WED3_SHEEP]
M5FJT7	N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Bos taurus GN=GNPTG PE=4 SV=1 - [M5FJT7_BOVIN]
M9TKR5	Perilipin OS=Capra hircus GN=ADFP PE=3 SV=1 - [M9TKR5_CAPHI]
O02762	Apolipoprotein A1 (Fragment) OS=Ovis aries PE=2 SV=1 - [O02762_SHEEP]
O46390	Biglycan OS=Ovis aries GN=BGN PE=2 SV=1 - [PGS1_SHEEP]
O46544	Complement component C3 (Fragment) OS=Ovis aries GN=C3 PE=2 SV=1 - [O46544_SHEEP]
O97802	Latrophilin 2 splice variant baaae OS=Bos taurus PE=2 SV=1 - [O97802_BOVIN]
O97897	Xanthine:oxygen oxidoreductase (Fragment) OS=Tragelaphus oryx GN=XDH/XO PE=2 SV=1 - [O97897_TRAOR]
P00349	6-phosphogluconate dehydrogenase, decarboxylating OS=Ovis aries GN=PGD PE=1 SV=4 - [6PGD_SHEEP]
P01240	Prolactin OS=Ovis aries GN=PRL PE=1 SV=2 - [PRL_SHEEP]
P01301	Pancreatic prohormone (Fragment) OS=Ovis aries GN=PPY PE=1 SV=2 - [PAHO_SHEEP]
P03307	Genome polyprotein OS=Foot-and-mouth disease virus (isolate -/Germany/A5Westerwald/1951 serotype A) PE=1 SV=2 - [POLG_FMDV5]
P04272	Annexin A2 OS=Bos taurus GN=ANXA2 PE=1 SV=2 - [ANXA2_BOVIN]
P04653	Alpha-S1-casein OS=Ovis aries GN=CSN1S1 PE=1 SV=3 - [CASA1_SHEEP]
P08728	Keratin, type I cytoskeletal 19 OS=Bos taurus GN=KRT19 PE=2 SV=1 - [K1C19_BOVIN]
P09462	Alpha-lactalbumin OS=Ovis aries GN=LALBA PE=1 SV=2 - [LALBA_SHEEP]
P0CG55	Polyubiquitin-B OS=Ovis aries GN=UBB PE=2 SV=1 - [UBB_SHEEP]
P10897	Cytochrome b561 OS=Bos taurus GN=CYB561 PE=1 SV=2 - [CY561_BOVIN]
P11839	Beta-casein OS=Ovis aries GN=CSN2 PE=1 SV=3 - [CASB_SHEEP]
P12303	Transthyretin OS=Ovis aries GN=TTR PE=2 SV=1 - [TTHY_SHEEP]
P14639	Serum albumin OS=Ovis aries GN=ALB PE=1 SV=1 - [ALBU_SHEEP]
P15103	Glutamine synthetase OS=Bos taurus GN=GLUL PE=2 SV=4 - [GLNA_BOVIN]
P15467	Ribonuclease 4 OS=Bos taurus GN=RNASE4 PE=1 SV=4 - [RNAS4_BOVIN]
P15497	Apolipoprotein A-I OS=Bos taurus GN=APOA1 PE=1 SV=3 - [APOA1_BOVIN]
P19748	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase (Fragment) OS=Sheeppox virus (strain KS-1) GN=PAPS PE=3 SV=1 - [MCE_SHEVK]
P20757	Angiotensinogen OS=Ovis aries GN=AGT PE=1 SV=2 - [ANGT_SHEEP]
P21379	Hemoglobin subunit alpha OS=Rangifer tarandus GN=HBA PE=1 SV=1 - [HBA_RANTA]
P25417	Cystatin-B OS=Bos taurus GN=CSTB PE=1 SV=1 - [CYTB_BOVIN]
P29701	Alpha-2-HS-glycoprotein OS=Ovis aries GN=AHSG PE=1 SV=1 - [FETUA_SHEEP]
P30209	Outer capsid protein VP5 OS=Bluetongue virus 2 (isolate USA) GN=S6 PE=3 SV=1 - [VP5_BTV2A]
P32262	Antithrombin-III OS=Ovis aries GN=SERPINC1 PE=2 SV=1 - [ANT3_SHEEP]
P33475	Outer capsid protein VP5 OS=Bluetongue virus 1 (isolate South Africa) GN=S6 PE=3 SV=1 - [VP5_BTV1S]
P42819	Serum amyloid A protein OS=Ovis aries GN=SAA1 PE=1 SV=1 - [SAA_SHEEP]
P48644	Retinal dehydrogenase 1 OS=Bos taurus GN=ALDH1A1 PE=2 SV=3 - [AL1A1_BOVIN]
P49928	Cathelin-related peptide SC5 OS=Ovis aries PE=1 SV=1 - [SC51_SHEEP]
P50420	Kappa-casein OS=Capricornis sumatraensis GN=CSN3 PE=2 SV=1 - [CASK_CAPSU]
P51977	Retinal dehydrogenase 1 OS=Ovis aries GN=ALDH1A1 PE=1 SV=2 - [AL1A1_SHEEP]
P53791	Sodium/glucose cotransporter 1 OS=Ovis aries GN=SLC5A1 PE=2 SV=1 - [SC5A1_SHEEP]
P60713	Actin, cytoplasmic 1 OS=Ovis aries GN=ACTB PE=2 SV=1 - [ACTB_SHEEP]
P61223	Ras-related protein Rap-1b OS=Bos taurus GN=RAP1B PE=2 SV=1 - [RAP1B_BOVIN]
P61585	Transforming protein RhoA OS=Bos taurus GN=RHOA PE=1 SV=1 - [RHOA_BOVIN]
P67829	Casein kinase I isoform alpha OS=Ovis aries GN=CSNK1A1 PE=3 SV=1 - [KC1A_SHEEP]
P67975	Beta-lactoglobulin OS=Ovis aries musimon GN=LGB PE=1 SV=1 - [LACB_OVIMU]
P68250	14-3-3 protein beta/alpha OS=Bos taurus GN=YWHAB PE=1 SV=2 - [1433B_BOVIN]
P79362	Cathelicidin-2 OS=Ovis aries GN=CATHL2 PE=2 SV=1 - [CTHL2_SHEEP]
Q009B1	ATP-binding cassette sub-family G member 2 OS=Ovis aries GN=ABCG2 PE=2 SV=1 - [Q009B1_SHEEP]
Q05FF0	Interferon gamma receptor 2 (Fragment) OS=Bos taurus GN=IFNGR2 PE=2 SV=1 - [Q05FF0_BOVIN]
Q06B57	Fatty acid synthase OS=Capra hircus GN=FASN PE=2 SV=2 - [Q06B57_CAPHI]
Q08DP0	Phosphoglucomutase-1 OS=Bos taurus GN=PGM1 PE=2 SV=1 - [PGM1_BOVIN]
Q08E20	S-formylglutathione hydrolase OS=Bos taurus GN=ESD PE=2 SV=1 - [ESTD_BOVIN]
Q09YI3	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 OS=Ovis aries GN=ASZ1 PE=3 SV=1 - [ASZ1_SHEEP]
Q09YI7	Capping protein (Actin filament) muscle Z-line, alpha 2, 3 prime (Fragment) OS=Ovis aries GN=CAPZA2 PE=4 SV=1 - [Q09YI7_SHEEP]
Q0IIG8	Ras-related protein Rab-18 OS=Bos taurus GN=RAB18 PE=2 SV=1 - [RAB18_BOVIN]
Q0PEU2	Keratin 14 (Fragment) OS=Bubalus bubalis PE=2 SV=1 - [Q0PEU2_BUBBU]
Q0PGG4	Actin, cytoplasmic 1 OS=Bos mutus grunniens GN=ACTB PE=2 SV=1 - [ACTB_BOSMU]
Q0V8Q0	Discoidin domain receptor family, member 1 (Fragment) OS=Bos taurus GN=DDR1 PE=2 SV=1 - [Q0V8Q0_BOVIN]
Q10994	Cystatin-B OS=Ovis aries GN=CSTB PE=1 SV=1 - [CYTB_SHEEP]
Q148C9	Heme-binding protein 1 OS=Bos taurus GN=HEBP1 PE=2 SV=1 - [HEBP1_BOVIN]
Q148J6	Actin-related protein 2/3 complex subunit 4 OS=Bos taurus GN=ARPC4 PE=1 SV=3 - [ARPC4_BOVIN]
Q17QC7	Poliovirus receptor-related 2 (Herpesvirus entry mediator B) OS=Bos taurus GN=PVRL2 PE=2 SV=1 - [Q17QC7_BOVIN]
Q17QW3	Retinol dehydrogenase 14 (All-trans/9-cis/11-cis) OS=Bos taurus GN=RDH14 PE=2 SV=1 - [Q17QW3_BOVIN]
Q1JPH2	Ras related v-ral simian leukemia viral oncogene homolog A (Fragment) OS=Bos taurus GN=RALA PE=2 SV=1 - [Q1JPH2_BOVIN]
Q1PHW0	Phosphatidylethanolamine-binding protein OS=Cervus elaphus PE=2 SV=1 - [Q1PHW0_CEREL]
Q1RMJ6	Rho-related GTP-binding protein RhoC OS=Bos taurus GN=RHOC PE=2 SV=1 - [RHOC_BOVIN]
Q1RPQ7	CD14 (Fragment) OS=Ovis aries GN=CD14 PE=2 SV=1 - [Q1RPQ7_SHEEP]
Q28194	Thrombospondin-1 (Fragment) OS=Bos taurus PE=2 SV=1 - [Q28194_BOVIN]
Q28554	Glyceraldehyde-3-phosphate dehydrogenase (Fragment) OS=Ovis aries GN=GAPDH PE=2 SV=4 - [G3P_SHEEP]
Q29439	Complement component C4 (Fragment) OS=Ovis aries GN=C4 PE=4 SV=1 - [Q29439_SHEEP]
Q29524	Lipoprotein lipase OS=Ovis aries GN=LPL PE=2 SV=1 - [LIPL_SHEEP]
Q2HJH2	Ras-related protein Rab-1B OS=Bos taurus GN=RAB1B PE=2 SV=1 - [RAB1B_BOVIN]
Q2KIM0	Tissue alpha-L-fucosidase OS=Bos taurus GN=FUCA1 PE=2 SV=1 - [FUCO_BOVIN]
Q2KJ32	Selenium-binding protein 1 OS=Bos taurus GN=SELENBP1 PE=1 SV=1 - [SBP1_BOVIN]
Q2PZL1	Prolactin (Fragment) OS=Bubalus bubalis PE=4 SV=1 - [Q2PZL1_BUBBU]
Q2QCT5	Osteopontin (Fragment) OS=Bos taurus PE=2 SV=1 - [Q2QCT5_BOVIN]
Q2TBH2	Related RAS viral (R-ras) oncogene homolog OS=Bos taurus GN=RRAS PE=1 SV=1 - [Q2TBH2_BOVIN]
Q2TBW9	Inhibitor of growth protein OS=Bos taurus GN=ING5 PE=2 SV=1 - [Q2TBW9_BOVIN]
Q2XW10	Ribosomal protein S4 X-linked (Fragment) OS=Bos taurus GN=RPS4X PE=2 SV=1 - [Q2XW10_BOVIN]
